,post_id,time,message,num_likes,num_comments,university
0,1295356853838883_1444599532247947,2017-03-14T20:33:48+0000,"#48 Posting a drunken Crushbridge, blacking out, and being reminded of it three days later... :/",0.0,1.0,Cambridge
1,1295356853838883_1444599338914633,2017-03-14T20:33:32+0000,#47 I was aired by an STI test at a bop - I just need to know if I should contact people :////,0.0,0.0,Cambridge
2,1295356853838883_1424547420919825,2017-02-25T11:02:47+0000,#46 I'm a lonely BNOC.,4.0,8.0,Cambridge
3,1295356853838883_1424547264253174,2017-02-25T11:02:31+0000,#45 I was aired by an STI test at a bop - I just need to know if I should contact people :////,0.0,0.0,Cambridge
4,1295356853838883_1420962851278282,2017-02-21T19:44:11+0000,#44 Hooked up with q cute Queen's first year in the Fresher's week. Went to his room where he dry humped me and came in his pants.,0.0,5.0,Cambridge
5,1295356853838883_1420962704611630,2017-02-21T19:43:58+0000,#43 Everyone thinks I'm super sociable and around all the time but really I'm always the one inviting people to stuff and rarely get invited to things. I suspect no one actually likes me.,2.0,0.0,Cambridge
6,1295356853838883_1420962517944982,2017-02-21T19:43:45+0000,"#42 Things were really going strong with ****** *** *****, until he appeared in my dorm with an extra key and a menacing look on his face.  If I can't have you, nobody can' he said as he withdrew a katana from behind and swung at me. I dodged and dived his attacks and was able to jump out my dorm window onto the street. I saw my life flash before my eyes but my lecturer caught me just before I collided with the ground. His firm grip on my body sent tingles down my spine. My relationship with him was hot and heavy, until I found my ex ****** *** ***** and the lecturer going at it like rabid animals in the lecture hall 20 minutes before the lecture was about to start (I'm an early bird). I projectile vomited all over the place and reported them to campus police. They're both not at the uni anymore and I've moved on. Moral of the story: Don't mess with the 117th Baddest bitch in Cambridge x",0.0,0.0,Cambridge
7,1295356853838883_1420962127945021,2017-02-21T19:43:11+0000,#41 Sometimes I just wish I accepted my offer to go to London Met...,0.0,0.0,Cambridge
8,1295356853838883_1420961861278381,2017-02-21T19:42:39+0000,"#40 Once, in an overwhelming bout of existentialist-esque realisation of my own personal freedom, I, while sitting in an awfully boring lecture, whipped out my cock and did the helicopter. Nobody noticed it and I have no doubts that the outcome of this little escopade would have been quite different if it was observed by an external party, but it felt like my mind and soul and body were liberated",2.0,1.0,Cambridge
9,1295356853838883_1411324215575479,2017-02-12T17:20:28+0000,"#39 The most liberating feeling, that I have felt since coming to Cambridge, is: walking through the hordes of tourists on King's Parade on a Saturday afternoon, to get a mid-essay coffee, in trackies and a jumper, without any underwear on underneath. Nobody suspects a thing.",2.0,1.0,Cambridge
10,1295356853838883_1409647602409807,2017-02-10T23:10:10+0000,"#38 Everyone is so boring. I can't believe that I haven't yet met one genuine, interesting person here.",1.0,2.0,Cambridge
11,1295356853838883_1409647452409822,2017-02-10T23:10:01+0000,#37 Gunning is so cute!!!,5.0,2.0,Cambridge
12,1295356853838883_1409647335743167,2017-02-10T23:09:52+0000,#36 I am the one who makes the stupid noises every day in Churchill,0.0,6.0,Cambridge
13,1295356853838883_1409647199076514,2017-02-10T23:09:41+0000,"#35 I will never forget my actions, nor the damage caused and the relationships lost, and that is punishment enough. Please, forgive me.",1.0,2.0,Cambridge
14,1295356853838883_1409647095743191,2017-02-10T23:09:31+0000,"#34 Last term I found a honky horn on Queen's Road. Instead of being the good samaritan and leaving it in a safe place for it's rightful owner, I stole the horn. I became obsessed with the horn, and the bellowing, obnoxious racket it produced. It's blaring roar become dulcet tones, like music to my ears, and the horn slowly divided me and my now-former friends, driving apart the strong bonds and friendships made over the two years prior, ruining mine, and others, supervisions, lectures and sleeping patterns. Eventually I become a recluse, alienated from my course mates and consigned to my room, with only the horn and it's wailing cacophony to keep me company. Fast forward, and the horn has been split into three pieces, never to be reunited in my lifetime - two taken away from me, in safe guardianship of stronger minds, and the other remaining in my possession, in silent slumber in my room - a constant reminder of my past mistakes. Sometimes I still hear the blaring honks in my head, and I am soothed, but I know I can never go back, and can only try to live my life like before.",26.0,4.0,Cambridge
15,1295356853838883_1409646749076559,2017-02-10T23:09:05+0000,#33 I'm in love with a girl that is totally out of my league. During lectures I can only fantasize about what could we do together. I totally want an affair with her.,0.0,2.0,Cambridge
